rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
201702017101237,NRCH,,05:00,,,05:00,,,,,,,,,,,,04:59,,
201702017101237,NRCHTPJ,,,,05:01,,,,,05:00,,,,,,,,,,
201702017101237,TRWSSBJ,,,,05:01:30,,,,,05:01,,,,,,,,,,
201702017101237,TROWSEJ,,,,05:02:30,,,,,,,,,,,,05:02,,,
201702017101237,DISS,05:17,05:18,05:16:30,,05:18,,,,,,,,,,05:16,,05:19,,
201702017101237,HAGHLYJ,,,,05:26:30,,,,,,,,,,,,05:28,,,
201702017101237,STWMRKT,05:29,05:30,05:29,,05:30:30,,,,,,,,,,05:30,,05:31,,
201702017101237,IPSWEPJ,,,,05:39,,,,,05:39,,,,,,,,,,
201702017101237,IPSWESJ,,,,05:40,,,,,,,,,,,,05:41,,,
201702017101237,IPSWICH,05:42,05:44,05:42,,05:44,,,,,,,,,,05:42,,05:44,,
201702017101237,IPSWHJN,,,,05:46,,,,,,,,,,,,05:46,,,
201702017101237,MANNGTR,05:53,05:54,05:53,,05:54:30,,,,,,,,,,05:53,,05:55,,
201702017101237,CLCHSTR,06:03,06:05,06:03,,06:05,,,,,,,,,,06:03,,06:04,,
201702017101237,MRKSTEY,,,,06:09:30,,,,,,,,,,,,06:10,,,
201702017101237,WITHAME,,,,06:15:30,,,,,,,,,,,,06:15,,,
201702017101237,CHLMSFD,,,,06:21:30,,,,,,,,,,,,06:21,,,
201702017101237,SHENFLD,,,,06:30,,,,,,,,,,,,06:30,,,
201702017101237,BRTWOOD,,,,06:31,,,,,06:31,,,,,,,,,,
201702017101237,HRLDWOD,,,,06:34,,,,,06:34,,,,,,,,,,
201702017101237,GIDEAPK,,,,06:35:30,,,,,,,,,,,,06:35,,,
201702017101237,ROMFORD,,,,06:36,,,,,,,,,,,,06:36,,,
201702017101237,CHDWLHT,,,,06:38,,,,,06:38,,,,,,,,,,
201702017101237,GODMAYS,,,,06:38:30,,,,,06:38,,,,,,,,,,
201702017101237,SVNKNGS,,,,06:39,,,,,06:39,,,,,,,,,,
201702017101237,ILFORD,,,,06:40,,,,,,,,,,,,06:40,,,
201702017101237,MANRPK,,,,06:41,,,,,06:41,,,,,,,,,,
201702017101237,FRSTGTJ,,,,06:41:30,,,,,,,,,,,,06:41,,,
201702017101237,FRSTGT,,,,06:42,,,,,06:41,,,,,,,,,,
201702017101237,STFD,06:44,,06:44,,06:45,,,,,,,,,,06:44,,06:46,,
201702017101237,BOWJ,,,,06:49,,,,,,,,,,,,06:48,,,
201702017101237,BTHNLGR,,,,06:51,,,,,,,,,,,,06:50,,,
201702017101237,LIVST,06:54,,06:54,,,,,,,,,,,,06:56,,,,
201702017101243,NRCH,,05:30,,,05:30,,,,,,,,,,,,05:29,,
201702017101243,NRCHTPJ,,,,05:31,,,,,05:30,,,,,,,,,,
201702017101243,TRWSSBJ,,,,05:31:30,,,,,05:31,,,,,,,,,,
201702017101243,TROWSEJ,,,,05:32:30,,,,,,,,,,,,05:32,,,
201702017101243,DISS,05:47,05:48,05:46:30,,05:48,,,,,,,,,,05:46,,05:48,,
201702017101243,HAGHLYJ,,,,05:56:30,,,,,,,,,,,,05:57,,,
